niche,prompt,aspect_ratio,style,content_type
Cottagecore,"Seamless vintage botanical paper pattern with pressed wildflowers daisies lavender and eucalyptus leaves on aged cream parchment soft muted sage green and beige tones cottagecore aesthetic herbarium illustration style high detail texture",1:1,Photorealistic,Stock Photos
Cottagecore,"Watercolor wildflower meadow pattern soft pastels lavender and sage dreamy cottagecore seamless repeat gentle brushstrokes romantic aesthetic",1:1,Artistic,Art
Cottagecore,"Dried flower bouquet flat lay pampas grass and baby's breath neutral boho colors cream and tan minimalist composition natural shadows",1:1,Photorealistic,Stock Photos
Dark Academia,"Ancient library manuscript paper texture old leather books dark wood shelves candlelight ambiance gothic architecture rich burgundy and deep brown tones moody scholarly atmosphere",1:1,Artistic,Art
Dark Academia,"Vintage manuscript paper handwritten Latin text aged parchment coffee stains and wear medieval calligraphy scholarly aesthetic sepia tones",1:1,Artistic,Art
Dark Academia,"Gothic cathedral rose window pattern stained glass deep blues and purples intricate stone tracery dark academia symmetrical design",1:1,Artistic,Art
Celestial,"Night sky seamless pattern with moon phases stars constellations deep navy blue and gold foil details mystical tarot aesthetic celestial map style",1:1,Artistic,Art
Celestial,"Tarot card inspired pattern sun moon and stars art nouveau style Alphonse Mucha influence gold foil details on black elegant and mystical",1:1,Artistic,Art
Celestial,"Crystal cluster pattern amethyst and quartz geode cross-section purple and white magical aesthetic gemstone texture high detail",1:1,Photorealistic,Stock Photos
Kawaii,"Kawaii food pattern with cute smiling boba tea donuts ice cream pastel pink and mint green colors Japanese kawaii aesthetic chibi style",1:1,Artistic,Illustration
Kawaii,"Cute animal faces pattern cats dogs and bunnies simple kawaii style pastel rainbow colors minimal line art children's book illustration",1:1,Artistic,Illustration
Kawaii,"Kawaii cloud and rainbow pattern smiling weather elements soft pastel sky dreamy aesthetic children's room decor gentle colors",1:1,Artistic,Illustration
Vintage Travel,"Old world map texture 18th century cartography compass roses and sea monsters aged paper patina exploration theme muted earth tones",1:1,Artistic,Art
Vintage Travel,"Vintage travel postcard pattern art deco style 1920s destinations palm springs miami beach retro color palette geometric borders",1:1,Artistic,Art
Art Deco,"Art deco geometric pattern gold and black 1920s Great Gatsby style symmetrical fan motifs luxury aesthetic metallic accents",1:1,Artistic,Art
Art Deco,"Art deco border pattern emerald green and gold peacock feathers elegant 1920s style seamless repeat luxury design",1:1,Artistic,Art
Nature Texture,"Marble stone texture white and gray veining natural stone pattern luxury surface high resolution photorealistic",1:1,Photorealistic,Stock Photos
Nature Texture,"Watercolor wash texture soft blue and pink bleeding gentle gradient artistic background dreamy aesthetic",1:1,Artistic,Art
Nature Texture,"Wood grain texture light oak natural wood pattern seamless repeat organic texture photorealistic",1:1,Photorealistic,Stock Photos
